,Donor,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,size,status
10,Türkiye,1.771462787482908,3.9308044253141907,3.5121577032185605,5.442402300968408,-1.9400071196350215,-0.38830300919721134,-0.7304653266101457,2.9849192121092014,0.9821227179861778,0.8385098479926598,0.29979219675806035,1.6711787612502407,-0.37106046920776964,-0.11742549230820121,-0.08963769507658298,0.36703670620209883,-0.1583706572580913,0.019331826792806647,0.3959017686584421,0.02033289148035077,0.12276296761148597,0.20790460100158636,-0.08422513526026812,-0.02967860430145012,0.04813552710986364,-0.0009265137436421512,0.07492991893153125,8123.52,Other
11,Malta,3.54081537373934,1.023093045272411,-0.43635197442691226,2.943565380242265,0.6681741838877232,-0.22326488830318317,-2.2760960254131954,-2.1176732810416956,0.3552341983345148,-1.5668602519157375,0.2019386156111858,0.8545398921913593,0.9651323822777583,0.6548854843869097,0.4574503379791667,-1.2826840034849596,-0.16083936945435212,0.16271491991762663,0.2167391060339031,-0.36726631300330753,-0.31977606467180725,0.009284324641541488,-0.07346442829178897,0.1136816255507149,0.18917684802664955,0.022462406386756863,-0.0629219386444214,53.4,Other
12,Australia,-1.6827746044627323,0.6662942992201413,0.4817268060003967,-2.815158054274225,-1.7184067583233038,-0.8475749798545796,-0.4239606120445987,1.0872130157944824,1.808541185918558,-1.199119070746645,0.6034343202412524,-0.7620784619635209,-0.2159801542300311,0.5359866774188846,0.31959161608595454,-0.14496390746699675,0.027608863521602175,0.6753020093828752,-0.449787790510861,0.42087490333732064,0.05241699170961044,0.25447974148144964,0.24352467543959883,-0.07838644670647688,0.017226789225389106,-0.17508079899772647,0.0018224986616651516,2868.76,DAC
13,Belgium,-2.5822051236687273,0.36308373457036064,-2.1309796635432074,1.0210491987693813,0.30991843692507726,0.4110472479829662,0.8820047590520044,-0.7846794403351024,0.6629052390215311,-0.4543157348242207,0.7903059517405948,0.807813160132609,-1.1684123487486122,-0.4293153309378158,-0.7067420824417727,0.22365542390877413,-0.018228445848712846,-0.11940176933175174,-0.29748815751637103,-0.3241626278177323,-0.24696021512399804,0.3759712120279764,0.21030787556913785,0.33179588453287384,0.0023184729693672347,-0.14291758286331047,0.038439832627859355,2343.58,DAC
14,Norway,-4.1909345198107255,-0.4676516761189194,-1.0762618313154224,1.0974412708255201,-0.5735315463537649,-0.5229959832849557,-0.7830758289762938,0.21824721551100834,-0.026749649524871903,0.2889508689619182,0.7371260374772387,-1.622102150782835,-0.45537308829306494,0.4086073067196129,0.5728906782906595,-0.3117323819828878,0.7999554927243218,-0.21842974295072198,0.00903442758799124,-0.005219733428561503,0.16693805797133335,-0.13499456852986202,0.18019212251338249,0.008063394825743937,0.022128137396264694,0.017534204617133363,0.04519041499191867,4195.69,DAC
15,Ireland,-2.7701859709964656,-0.044484609035919796,-0.8355356382896657,0.6654002080913146,0.030532656933058306,1.6276895085134608,1.705685430618741,-0.24769442973617062,0.1354234821275092,-0.38315839850098254,-0.3866687624412605,0.8080481084007392,-0.6319505738418328,-0.18351589999596335,-0.22381256207193095,-0.32335701347537843,-0.05980156792182983,-0.020658223782419886,-0.204124602375751,-0.21125549688993422,-0.26114068173191646,0.3696657858495946,-0.25957780330992564,0.059394059982090734,-0.11946709164792192,-0.11836178849729523,-0.20507718263105706,987.79,DAC
16,Czech Republic,-0.31801818443772456,-0.6183033318111835,-0.7248347308634807,0.034489232305027,0.0684806486956053,-0.7949985652247209,2.5922116133604853,0.5709732823514168,-0.047839257183049044,-0.22889277765764238,-0.8098764436595672,0.3626249153006743,0.09827655276897192,-0.08330874132967123,-0.2639391227396513,0.13367033897353076,-0.3129058953604437,0.7032772675698272,0.22845475149704475,-0.12881428526800007,0.32940899965829545,-0.07742021328054671,0.1833571511716566,-0.02299716239944273,0.13200615595456458,-0.04879908731412976,-0.05281532980918375,299.14,DAC
17,Japan,0.4696832598374476,2.9772370865946534,1.3001898804699905,-2.1186047085527524,-0.1649460327012065,-0.886554882536273,-0.6448982775965638,-0.401287215211055,-1.5938462051190119,-0.008820377358816214,1.056981047146422,-0.5203803354912167,-1.7422740777890908,0.13449093166926218,-0.6524236959076853,0.09813310975508034,0.2725131882897053,0.20763279597059497,0.025520155796501433,-0.6819464066298954,-0.45082492718168177,0.1737926194886186,0.0753942488680622,0.14275132053817957,0.1652073319002586,0.1200989691211868,0.0031152928446276915,16260.25,DAC
18,Germany,-1.471177426532395,0.49602337814454417,-1.1845493419154722,0.2787537036543137,-0.16067616581028632,-1.361313516297832,-1.6475132262600714,-0.03290786226936065,-0.1471165210093062,0.2988288499878074,0.38674626342524415,-1.124522339557168,0.35885200582902727,0.09257128410408416,0.2200932201230523,0.06290253974456136,0.18400282190774989,0.08521356712176709,0.15814228234762204,0.1521867790677311,-0.07211156828153144,-0.14482822709090978,-0.27212324274329214,-0.12506067450292307,-0.09835363846355136,-0.05544673644832777,-0.09297645479199264,28707.88,DAC
19,Iceland,-2.2447381865096983,-0.19185564608685846,-0.23186177572033867,-0.5626608959784719,2.033988114100662,2.3113596921912727,-0.20993243952881357,-0.8280752593437518,0.22913553050944155,-0.04995667122440634,-0.03340606302004338,1.165978170856964,-0.11975752861723662,-0.12703835425364507,0.39141096419288846,0.12942526758155537,0.11803699430061829,0.2762005593190792,-0.4689003581808721,0.26071213529862797,-0.038700105301860764,0.06255285537171121,0.15235336640809674,0.07306541419879108,0.1637389360292274,-0.037939034975235486,0.14818787037983705,57.9,DAC
