,Donor,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,status,size
10,Norway,-3.73246301202173,-1.8483777652668807,-1.4253672145122693,-1.6334050500383557,-0.8108390254217125,-0.5924424950303707,-0.00808793274959928,-0.05753985420620067,-0.07248313449621639,-1.4112855497660723,0.20690558547432014,0.5004866184533415,-0.8475795346322561,-0.568700093320564,0.7276681137929505,-0.007700350596921943,-0.5032942652823243,0.20582635385854445,-0.18494186454000505,-0.033809628977899145,0.0855688998568286,0.1149324798422045,0.10546080755417,0.13349378678587975,0.04122330932742977,-0.08483711784052636,0.006745823701138817,DAC,4195.69
11,Ireland,-2.3705200946552427,-1.8476374304026144,2.466175648520123,1.4022660453175055,0.08840962668991197,0.6651379804163919,-0.4505796081373177,-0.4535489930259888,-0.7903390761754188,-0.31400011923044086,-0.5665724222202754,0.30880150710853294,0.06381584980015159,-0.22081901880929,-0.04476680586751553,0.12269363390670145,0.44865443333047916,-0.4637311470444808,0.06552040424480712,0.05293315873143437,-0.12869120528769346,-0.24059393186045863,-0.15963398957842195,0.13126446937454186,-0.021545039702657635,0.04701971882923451,0.013757476102385306,DAC,987.79
12,Czech Republic,-0.10071028600399415,-1.3744707086461732,-0.06463278597900982,3.1935326573746767,1.3794117591075352,-1.554797931353716,-1.0926530381411652,-0.1369307335830486,-0.04393336701506398,0.8865805794572431,0.41500792552384624,0.5936866571579227,-0.004942439042605112,0.32170664337196453,-0.48614321514395437,-0.44515727781820535,-0.21697716680626808,0.012652327359003866,-0.2877006724693654,-0.2774247526342306,0.32720802457705933,-0.07482465815175153,0.02649036936160764,0.13396022562755608,0.010789754477747696,-0.020176106775087473,0.030218619384347476,DAC,299.14
13,Japan,0.41395589836894237,6.251119198837258,-1.6296508849895441,0.986105628009686,-3.422950067894105,-0.7926762890834984,-0.2940627245761159,-1.3385476103182254,-1.3320790202682484,0.06655221882000657,-0.7423124693442547,-0.21919356127104528,0.8855255654861481,-0.25534176018253685,-0.017087335929991017,-0.34936795717463026,-0.08274139980418797,-0.05499519730547432,-0.3458192326617725,-0.025976251340638846,0.09075905282273171,-0.014803976525830364,0.05011271314976938,-0.0351582784147276,-0.0514584453829497,-0.0019730737018114476,-0.00014383741412978294,DAC,16260.25
14,Germany,-0.8115898915758704,0.6364091046713469,-2.5102696380791283,-0.9608899659984697,-0.6619230231081433,-0.10673015637081976,0.5565862970105843,0.8026226667624949,0.7102087972431236,-0.6830139388548337,0.15117379414967033,-0.6362369078530453,-0.49133641901018466,0.35722480209132995,0.19713377286516845,0.007356716978492405,0.013577869250937995,-0.018433123017444646,-0.005396854038772571,-0.5029444204306006,-0.08991186165587813,0.2361914936557204,-0.10543598212259205,0.07576282584145307,-0.025253195552150245,0.12383333886587615,0.02141171050153376,DAC,28707.88
15,Iceland,-1.6308831721835568,-0.18488185440742722,2.731199498556396,-0.6638023252869856,-0.2606661065813335,0.702133086888367,3.308127476550007,-0.6378677244756202,0.366149238735752,0.48472900137226704,0.5294639326629277,-0.026008331349933096,0.16914455440218124,-0.22699802465109575,0.6430334611810204,-0.07912708267584262,-0.022082794187617348,-0.18684821615639324,-0.01261553867013065,0.026817216481942067,0.5391493889848309,-0.019036727513401668,0.19565533728898396,-0.008668963014975146,-0.02813096947077893,0.03871574315193336,-0.00042427984573358246,DAC,57.9
16,Switzerland,-1.914233573950079,-0.9749472874500489,-0.6170246626098247,0.1902052190419733,0.16751070673928228,-0.9840090789839424,0.10615457536273977,0.4418931734140337,0.008388425568860944,-0.5206554987927253,-1.2556733472162938,-0.6331597038660391,0.206981856553284,0.6147278725429026,0.0801328516621361,-0.03819867250884007,0.040382225182327314,-0.17322983080297336,0.08027230374105672,0.39155035005622696,-0.21112515979703164,-0.15769705727841124,0.2866833256315356,0.2566159427898584,0.011561544710326093,0.021211287326525198,-0.021994545975786383,DAC,3562.86
17,United States,-2.169235811783148,0.2935210375718787,1.7648575412209806,2.0422287150155145,-0.046134364608017224,-1.8399702713460295,0.7063941757851192,1.4875761463286428,0.7148349236032668,-0.4656657140795182,-0.9665781074991182,-0.9115687037188263,-0.5469230014334348,0.14385699458390255,-0.28587826633921065,0.4929257225034778,0.12607905054979407,-0.18521322444724375,-0.20571045809376406,-0.33044273355208903,0.17021918064885846,0.1428660269314043,-0.18081855038371758,-0.09147676405251472,-0.04400828381545549,-0.051478797277879,-0.021565266722394345,DAC,35576.31
18,United Kingdom,-1.9928485044498416,-0.1435728401100774,-0.8279211054830014,-1.1162350429949728,-0.5643864644926316,-0.1403075993683349,-0.32288995300269707,1.2346477501767423,0.7517881080762147,0.5685642430654841,-0.3350507275825155,0.8917342077310947,-0.49742717561764366,-0.7736936850590139,-0.4824087973779411,0.3279017379076666,0.7955889008070699,0.17723898321718307,-0.4177718354529872,0.6831382284758676,0.0008140135331120993,0.0438379489576692,0.08051345624971934,-0.08514222265842174,-0.07912163380507083,0.00708600271668998,0.015237369245561183,DAC,18568.19
19,Denmark,-2.8526766531207164,-2.273418279829742,0.9209908285339866,-0.2175162520939405,-1.2453430083743982,-0.8166116086003039,0.2109063539091904,-1.1050608503915094,-0.25661199223006725,-0.8580955116705046,0.4807151861524379,0.14687901564740463,0.49965855110224555,0.7185972552227485,-0.483983152469714,0.18064285561893648,0.45880946022390096,0.21031157161140088,-0.34024947829451796,-0.04527638247651124,-0.11725249997203184,0.06129011626539888,0.054308588181754366,-0.16848702568925122,0.19460435568483267,0.022257380882415252,-8.384822782950761e-05,DAC,2651.54
