Donor,ODA as percent of GNI (log),Europe (%),South & Central Asia (%),concentration_score,Asia-Pacific (%),MENA (%),Sub-Saharan Africa (%),poor country focus (%),Fragile states (%),Education (%),"Health, Water, Sanitation (%)","Government, Society and Peace (%)","Transport, Communication and Energy (%)","Banking, Finance and Business (%)","Agriculture, Forestry, Fishing (%)",Multi-Sector / Cross-Cutting (%),Humanitarian Aid (%),Experts and other technical assistance (%),Project-type interventions (%),in-donor expenditures (%),Budget support and pooled funding (%),Multilateral Organisations (%),Public Sector (%),"NGOs, civil society and research institutions (%)",earmarked-to-core-ratio log,share of multilateral,"share of cpa, log"
Türkiye,2.4800153644987795,-0.6650356662611311,-0.7726064995636002,2.3403103284351667,-0.5333435917161317,3.4736780287318054,-0.9920201450733961,-1.166630445150641,2.8453528745229786,-0.6249288939327674,-0.9807025160662709,-1.0869791337636396,-0.5303730086947225,-0.6741777213827961,-1.1298748813266992,-0.13687795965451535,4.23262350784079,-0.616269801931201,2.1668729181078645,-0.8247543454950851,-1.2725287650120074,-1.2210174483041616,1.6934753069821216,-1.1747557648943991,-0.9099330868567516,-2.197500135124853,-1.5146294339646031
Malta,0.32562474036702066,-0.5925722020043439,-0.7215454502808129,-0.5976681728726508,-0.2174866866855858,2.434273584935856,-0.531696037774213,-0.6508645845894527,-1.1467529838054644,-0.7692570713798141,-1.006740613357217,-1.1126321531615266,-0.5415140281389934,-0.6886013921577763,-1.1574430483165983,-1.0457473279595246,-0.9000390132731384,-0.9144238986383122,-1.0812173775570029,2.712877568318753,-1.2726703721321466,-1.2210174483041616,1.7076314072027239,-1.1747608448918199,-0.9099330868567516,-1.7583756766064855,-1.6395288512409223
Australia,-0.40387821967573667,-0.696312407870221,0.05059327649643237,0.6676502957642256,2.7976240850197907,-0.748047816753091,-0.8901174820012115,-0.012443395783006607,0.3829133876482183,-0.4085563391895439,0.39747729658221154,0.7629860962387937,-0.06598316388135421,0.21936782693681117,0.49004672647188335,2.349130447172723,-0.3305726266229448,1.444077684945523,0.524334555744499,-0.6241100490055581,-0.2672169802766397,0.4237045568040772,-1.110434535738435,0.22028925327796392,1.0472444152145302,-0.4564445717913562,0.8604466135288328
Belgium,0.5965571493703616,-0.6329932304143787,-0.8052618221481238,-0.5976681728726508,-0.39171798830948007,-0.28141555952898933,1.8116972777054385,1.2903036901985192,0.2691633241192917,-0.22482992645940963,-0.038397781101015355,-0.38068991758787574,-0.2293000321174824,0.030093262662870397,1.8323894302806178,1.6797945569709671,0.0012023679744700229,-0.6016382884837088,-0.6069796418801232,-0.13988541782410607,0.8536272184112809,-0.30666820919552923,-0.5631538892827482,1.4416970797746202,-0.5730975547764117,0.1834682549154131,-0.9359397500454363
Norway,2.4016610672061582,-0.5555412047191428,-0.0593136900572365,-0.9304904644610779,-0.2785965603129941,0.05954261628879492,0.8474953218648232,0.8224540897322619,0.04476339309010822,-0.1559712780511995,-0.04454640582390373,1.0151424858145655,-0.28952606168107875,1.708711801698799,-0.00015118645861161075,2.480889774379017,-0.04810657145457776,-0.2230609031130196,-0.4559422855890133,-0.7434845400262866,1.16853036437869,1.263121842726723,-1.3558890233484457,0.782379508485869,1.1011833009854255,0.19022033273453023,-0.3527125588219152
Ireland,-0.03495465726707449,-0.6452127662110697,-0.6679967094238469,-0.19032660883858668,-0.36139706236610913,-0.47210295859379425,2.053829934441445,1.5813378416178088,1.1042610409664697,-0.32053425678252145,0.24688147040320063,0.5530709600748337,-0.5123455695766675,-0.5868489338930467,0.5242025044791396,0.5033232660296086,0.4384898528778614,-0.5567263176499438,-0.39896701589321804,-0.44254983745397436,1.1670697971188788,0.33827844060849865,-0.8753035041241719,1.515087337881645,-0.2715180049373736,0.307308857555431,-0.26396308270159946
Czech Republic,-0.7847322938364214,0.5105443209281885,-0.11507678328083899,-0.5976681728726508,-0.3078627474476951,0.08440331491451368,-0.1865666459952317,-0.08593888267535699,0.3051025510545935,-0.0598040741785749,0.3448219857876804,0.3758789244577116,-0.49574313961986255,-0.5290393452225631,0.8771040757279114,-0.2574096721367526,0.5843007238644806,-0.6464828951428805,0.5885838952729717,-0.18414272121147712,-0.3034938999495311,0.09544723383748037,-1.1845214455703323,1.6061029752308857,-0.7279102639439846,1.1476074672776237,0.5399549505764331
Japan,-0.012436745138163246,-0.6750055104122121,1.7627598381140255,0.6676502957642256,0.7918196612924789,-0.3869983805094207,-0.6523864250439488,-0.0020333095308296477,0.33581890423469374,-0.5621362383085255,-0.18627245549951105,-0.9275643654520692,2.8615279874890227,-0.5937010514980264,0.4651048773563948,1.2274850318692487,-0.7485310754255217,-0.7854999023850185,0.8756297591432246,-0.7696959881821497,-0.11964822022017323,-0.4945054413646148,0.9314634639331856,-1.0674116475208624,0.08938120972936747,-1.1872350202949786,1.391584547286041
Germany,1.4074736902172906,-0.4368351542454038,0.12473834390585739,-1.211887702462959,0.03904234055752862,0.22913331932861056,0.025436480904961523,-0.32133820277226366,-0.3484990460227564,-0.04783381776477863,-0.08925044839149868,0.4535813265224321,0.1947078886269494,1.8680237496221508,0.323393429528578,1.2406242232868094,-0.4702367927868924,0.125478661439743,-0.06599824094406756,0.04864132599115516,-0.024983030222728356,0.12712603307106227,-0.05972179624390355,0.03341889940593716,0.5932168972505762,-0.674416835711332,0.18061476796755593
Iceland,-0.17976456601044333,-0.6505245035585822,-0.6234185879135926,0.33482800417579883,-0.5157160691062167,-0.2915443764880837,2.113747007674556,1.8033514302711522,0.004202622879263767,-0.09818101892704427,1.1375363398961715,0.14513598628509294,-0.09198534727812155,-0.5752676755425944,1.1977177371749388,-0.4962420600686605,-0.4045921075690303,0.4122291264679978,-1.2159447098629408,0.09592442827558069,1.1941796629905514,0.4993484907767578,-0.16491788706293692,-0.08328566524533101,1.349386579416493,-0.09781362481857801,0.011717462493665683
